11,28,7
11,23,7
11,21,7
11,20,7
11,18,7
11,17,7
11,16,3
12,16,3
12,16,7
13,14,7
15,12,7
15,11,7
15,10,7
15,9,7
16,8,7
17,8,7
16,7,7
16,6,3
14,5,3
13,4,3
13,3,0
15,1,0
18,1,1
22,1,2
25,1,2
25,2,2
24,1,2
25,6,2
25,6,2
26,9,2
25,8,2
23,11,3
20,10,3
18,9,3
20,16,1
24,20,2
24,19,2
25,22,2
25,21,2
24,20,2
20,19,3
18,18,3
16,17,2
14,16,2
14,20,3
14,19,7
15,18,7
15,17,7
14,16,3
12,15,3
11,14,3
12,13,7
14,11,7
14,10,7
14,9,7
12,8,7
11,7,7
11,6,3
12,5,0
12,4,0
14,2,0
16,1,1
20,1,1
22,1,2
23,1,2
25,6,2
25,6,2
27,9,2
26,8,2
25,11,2
24,10,2
24,9,2
26,13,3
26,17,2
26,16,2
27,19,2
26,18,2
27,22,3
25,21,2
21,20,3
23,23,2
23,24,2
20,23,3
18,22,3
16,21,3
16,20,3
16,19,3
16,21,3
17,22,7
